pl_name,hostname,pl_orbper,pl_rade,pl_bmassj,pl_eqt,pl_insol,st_rad,st_teff,st_lum,sy_dist,pl_dens
Kepler-33 c,Kepler-33,13.17562,3.2,,,,1.82,5904.0,0.556,1209.16,
Kepler-1266 b,Kepler-1266,28.474748,2.58,,,,0.76,5044.0,,849.312,
Kepler-1254 b,Kepler-1254,9.99113313,1.54,,679.0,50.21,0.756,5130.0,,622.818,
Kepler-1771 b,Kepler-1771,88.6440015,2.51,,391.0,5.51,0.934,5661.0,,565.752,
Kepler-1820 b,Kepler-1820,31.032699,2.7,,561.0,23.41,0.931,5841.0,,1425.39,
Kepler-1637 b,Kepler-1637,6.10960324,0.89,,,,1.02,5789.0,,567.187,
Kepler-1397 b,Kepler-1397,47.4497134,1.61,,551.0,21.82,1.126,6007.0,,1198.25,
Kepler-879 b,Kepler-879,33.3855938,2.57,,,,1.02,5792.0,,802.672,
HAT-P-35 b,HAT-P-35,3.646706,14.930388,1.056,,,1.435,6096.0,,506.965,0.55
WASP-94 A b,WASP-94 A,3.9501907,19.28,0.452,1604.0,,1.62,6153.0,,211.211,0.118
LTT 3780 b,LTT 3780,0.76839038111,1.1406447,,830.89,112.6409,0.374139,3329.0,,21.9814,
TOI-2015 b,TOI-2015,3.3491408,5.37673,,657.0,31.0153,0.32,3223.0,,47.3444,
Kepler-161 b,Kepler-161,4.9213639,2.14,,868.0,134.02,0.799,5076.0,,434.632,
Kepler-1389 b,Kepler-1389,99.2530951,1.77,,318.0,2.41,0.754,5129.0,,497.093,
Kepler-130 d,Kepler-130,87.5174361,1.379,,,9.8,1.138,5887.0,,316.663,
Kepler-1463 b,Kepler-1463,25.15864,1.86,,,,0.95,5679.0,,1687.47,
Kepler-1563 b,Kepler-1563,3.4327371,0.75,,1134.0,390.57,0.881,5757.0,,616.697,
Kepler-778 b,Kepler-778,3.75574426,1.68,,,,0.77,5102.0,,938.168,
Kepler-377 b,Kepler-377,12.50948,1.16,,835.0,,1.01,6207.0,,823.804,
