time,flux,flux_err
1345.7412732877026,6584.895,11.2621565
1345.7426621749587,6561.8433,11.2518635
1345.7440510622146,6564.1323,11.245073
1345.7454399494995,6567.734,11.256527
1345.7468288367563,6567.033,11.258081
1345.7482177240124,6587.875,11.266376
1345.7496066112676,6587.741,11.264478
1345.7509954985244,6567.2925,11.249077
1345.7523843857812,6567.4004,11.247198
1345.7537732730661,6561.5537,11.250011
1345.7551621603225,6573.1763,11.2538595
1345.7565510475783,6586.776,11.261428
1345.7579399348351,6593.721,11.269876
1345.759328822091,6587.6636,11.259463
1345.7607177093464,6586.5195,11.259335
1345.7621065966032,6579.1094,11.253839
1345.7634954838597,6568.0674,11.251415
1345.764884371115,6568.0522,11.261001
1345.7662732583713,6583.1,11.265412
1345.7676621456278,6576.384,11.259349
1345.769051032884,6566.981,11.252708
1345.7704399201398,6555.9946,11.248859
1345.7718288073959,6550.5894,11.238676
1345.773217694652,6561.0415,11.247391
1345.7746065819085,6570.306,11.249365
1345.7759954691355,6557.302,11.25122
1345.7773843563914,6568.4673,11.257057
1345.7787732436482,6583.588,11.27713
1345.780162130904,6556.762,11.252443
1345.7815510181604,6545.499,11.245579
1345.7829399054162,6582.927,11.263363
1345.784328792672,6572.25,11.269831
1345.7857176798998,6573.555,11.260991
1345.787106567156,6570.913,11.2609005
1345.788495454411,6560.088,11.255256
1345.7898843416679,6562.6177,11.249254
1345.7912732288955,6557.9287,11.260713
1345.792662116151,6565.6416,11.254309
1345.7940510034068,6573.212,11.264549
1345.7954398906345,6562.756,11.253706
1345.7968287778904,6566.1274,11.252054
1345.7982176651465,6574.742,11.256447
1345.7996065523735,6569.3965,11.26432
1345.80099543963,6590.314,11.282385
1345.8023843268866,6562.6284,11.266845
1345.8037732141129,6578.334,11.26733
1345.805162101369,6569.96,11.257763
1345.8065509886255,6557.014,11.254157
1345.8079398758528,6595.7075,11.277001
1345.8093287631086,6574.1084,11.265112
1345.8107176503354,6544.0063,11.250634
1345.8121065375915,6588.292,11.269575
1345.813495424819,6578.022,11.261631
1345.8148843120753,6572.7847,11.262991
1345.8162731993013,6587.706,11.267598
1345.817662086558,6553.083,11.252078
1345.8190509737856,6555.3228,11.251613
1345.820439861041,6552.2773,11.255206
1345.8218287482678,6563.8765,11.269905
1345.8232176354954,6584.7236,11.270971
1345.8246065227522,6564.8403,11.257145
1345.825995409979,6565.9175,11.257633
1345.8273842972344,6577.4614,11.263915
1345.828773184462,6579.28,11.273851
1345.8301620716888,6564.1274,11.259698
1345.8315509589443,6584.6064,11.269859
1345.832939846172,6564.209,11.2625
1345.8343287333996,6567.6733,11.262661
1345.8357176206548,6585.583,11.267323
1345.8371065078818,6566.7495,11.263306
1345.8384953951092,6558.701,11.260747
1345.8398842823362,6560.7935,11.259293
1345.8412731695921,6584.919,11.263805
1345.842662056819,6573.9946,11.261906
1345.844050944046,6559.7007,11.256608
1345.8454398312738,6567.516,11.264241
1345.8468287185005,6582.676,11.278379
1345.8482176057273,6576.2397,11.26873
1345.849606492984,6580.9688,11.266579
1345.850995380211,6573.701,11.265694
1345.852384267438,6565.8994,11.264156
1345.8537731546649,6565.944,11.258857
1345.8551620418916,6568.8125,11.26493
1345.8565509291193,6574.5254,11.265698
1345.8579398163463,6570.7935,11.2635975
1345.8593287035724,6570.467,11.26026
1345.8607175908,6580.328,11.279255
1345.8621064780277,6561.592,11.265086
1345.863495365254,6576.5967,11.266687
1345.8648842524808,6570.455,11.262253
1345.8662731397085,6571.6606,11.272519
1345.8676620269352,6579.865,11.26539
1345.8690509141622,6599.862,11.273269
1345.8704398013892,6550.393,11.257591
1345.871828688617,6564.0225,11.271204
1345.8732175758444,6555.932,11.264305
1345.8746064630704,6556.9976,11.255265
1345.8759953502977,6560.9507,11.259234
1345.8773842375251,6562.289,11.262064
1345.878773124723,6581.231,11.265256
1345.8801620119498,6583.637,11.263437
1345.8815508991765,6582.499,11.269154
1345.8829397864038,6578.504,11.273789
1345.8843286736312,6561.302,11.259741
1345.885717560829,6580.839,11.274416
1345.8871064480554,6553.484,11.252261
1345.8884953352829,6573.792,11.26376
1345.8898842225103,6589.683,11.267916
1345.8912731097075,6565.6514,11.264769
1345.8926619969343,6549.9863,11.26247
1345.894050884162,6582.289,11.262916
1345.8954397713605,6572.091,11.258643
1345.8968286585873,6581.8364,11.27016
1345.8982175458136,6563.8564,11.259947
1345.8996064330122,6581.441,11.25599
1345.9009953202399,6573.6196,11.268149
1345.9023842074662,6564.5625,11.250627
1345.9037730946638,6576.7554,11.267022
1345.9051619818915,6583.979,11.26163
1345.9065508690892,6563.161,11.249319
1345.907939756316,6575.9004,11.256319
1345.909328643514,6565.724,11.256061
1345.9107175307408,6553.6597,11.253342
1345.9121064179394,6556.154,11.246483
1345.9134953051662,6564.321,11.267856
1345.9148841923634,6570.3643,11.253332
1345.916273079591,6562.4263,11.255716
